"Reference","Value","Footprint","Qty","DNP","Mouser番号","Package","digikey品番"
"C1","1000p","ProjectEV_Capacitor:C_3216M","1","","","3216M",""
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13","1u","ProjectEV_Capacitor:C_1608M","12","","","1608M",""
"C14,C15,C16","0.1u","ProjectEV_Capacitor:C_1608M","3","","","1608M",""
"C17,C18,C19","10n","ProjectEV_Capacitor:C_1608M","3","DNP","","1608M",""
"D1,D2,D3","PZ1AH11B-AU_R1_000A1","ProjectEV_Diode:PZ1AH11B-AU_R1_000A1","3","","241-PZ1AH11BAUR1000A","",""
"D4,D5,D6,D7,D8,D9","B1911PG--20D000514U1930","ProjectEV_LED:B1911PG--20D000514U1930","6","","","","3147-B1911PG--20D000514U1930CT-ND"
"F1,F2,F3","0ABB-1000-TM","ProjectEV_Fuse:0ABB-1000-TM","3","","530-0ABB-1000-TM","","507-0ABB-5000-TMCT-ND"
"J1,J2,J3,J4,J5,J6","SM03B-PASS-TBT","ProjectEV_Connector_JST:SM03B-PASS-TBT","6","","","","455-SM03B-PASS-TBTCT-ND"
"Q1,Q2,Q3","DMP3098LQ-7","ProjectEV_Transistor:DMP3098LQ-7","3","","621-DMP3098LQ-7","",""
"Q4,Q5,Q6","2N7002K-AU_R1_000A2","ProjectEV_Transistor:2N7002K-AU_R1_000A2","3","","","","3757-2N7002K-AU_R1_000A2CT-ND"
"R1","1M","ProjectEV_Resistor:R_3216M","1","","","3216M",""
"R2,R3","0","ProjectEV_Resistor:R_1608M","2","","","1608M",""
"R4,R5,R6,R13,R14,R15,R20,R22,R24,R26,R28,R30,R34,R35,R36","100k","ProjectEV_Resistor:R_1608M","15","","","1608M",""
"R7,R8,R9,R19,R21,R23,R25,R27,R29","10k","ProjectEV_Resistor:R_1608M","9","","","1608M",""
"R10,R11,R12","100","ProjectEV_Resistor:R_1608M","3","","","1608M",""
"R16,R17,R18","3.3k","ProjectEV_Resistor:R_1608M","3","","","1608M",""
"R31,R32,R33","RT1206BRC07250RL","ProjectEV_Resistor:RT1206BRC07250RL","3","","603-RT1206BRC07250RL","3216M",""
"U1,U2,U3","NCV8711BMTW500TBG","ProjectEV_RegulatorLinear:NCV8711BMTW500TBG","3","","863-NCV8711BMTW500TB","",""
"U4,U5,U6","NCV20072DR2G","ProjectEV_Opamp:NCV20072DR2G","3","","863-NCV20072DR2G","",""
